Establishment,ICT,BIOLOGY,GEOLOGY,HISTORY,ECONOMICS,GEOGRAPHY,MARKETING,DATA PROCESSING,BUSINESS MATHEMATICS,BUSINESS MANAGEMENT,PHYSICS,MATHEMATICS AND MECHANICS,CHEMISTRY,PHILOSOPHY,LITERATURE IN ENGLISH,RELIGIOUS STUDIES,PURE MATHEMATICS WITH STATISTICS,FRENCH,FOOD SCIENCE AND NUTRITION,FURTHER MATHEMATICS,PURE MATHEMATICS WITH MECHANICS,COMMERCE AND FINANCE,ENGLISH LANGUAGE,COMPUTER SCIENCE,ACCOUNTING,LAW,COMMUNICATION SKILLS,SECRETERIAL ADMINISTRATION,ENGINEERING SCIENCE
Faculty of Social and Management Sciences,C,null,null,B,C,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,O,null,null,null,null,null,null
Faculty of Education,null,null,null,C,E,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,D,E,null,null,null,null,null,null,null,null,null,D,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,C,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,A,null,null,null,null,null,null,null,null,E,null,B,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,C,null,null,null,C,E,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,,null,null,null,null,null,null,null,null,null,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,D,E,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,A,C,E,null,null,null,null,null,null,null,E,null,B,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,null,null,null,null,null,null,null,null,null,D,null,B,null,null,null,null,null,null,D,D,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,null,D,null,null,B,null,null,null,null,F,null,null,null,null,null,null
Faculty of Science,null,C,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,E,E,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,E,null,null,null,null,null,null,null,null,E,D,B,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,B,E,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,A,B,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,D,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,C,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,O,E,null,null,null,null,null,null,null,null,null,null,null,B,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,C,null,null,D,O,null,null,null,null,null,null,null,null,O,O,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,B,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,C,null,null,null,null,null,null,null,null,null,O,null,E,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,E,null,C,null,null,null,null,null,null,C,C,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,B,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,F,null,null,null,null,null,null,null,E,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,D,null,null,null,null,null,null,null,null,null,D,E,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,C,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,C,C,null,null,null,null,null,null,null,B,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,D,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,null,null,null,null,null,null,null,null,null,C,null,C,null,null,null,null,null,null,B,A,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,A,null,null,A,B,B,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,E,null,null,null,A,A,null,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,C,null,null,null,null,null,null,null,null,null,O,D,null,null,O,null,null,null,null,F,null,null,null,null,null,null
Faculty of Education,null,null,null,D,F,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,C,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,D,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,E,null,null,null,null,null,null,null,null,null,E,E,null,null,D,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,C,null,null,null,null,null,null,null,null,null,E,O,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,E,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,O,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,C,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,E,null,null,D,B,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,null,null,null,null,null,A,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,C,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,B,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,null,null,null,D,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,C,null,null,null,null,null,null,null,null,null,null,E,null,null,D,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,B,null,A,null,A,A,null,null,null,null,null,null,null,null,null,null,null,A,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,E,null,null,null,null,null,null,null,null,null,null,C,null,null,D,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,C,E,null,null,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,null,null,null,null,null,null,null,null,null,D,E,B,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,B,null,null,null,C,D,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,null,null,null,null,null,B,null,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,E,E,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,E,null,null,null,null,null,null,null,null,D,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,C,E,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,,null,null,null,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,D,null,C,null,null,null,null,null,null,E,E,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,C,B,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,null,null,C,null,D,D,null,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,D,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,E,null,null,null,C,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,A,null,null,null,null,null,null,null,null,null,null,D,null,null,null,D,null,null,null,null,null,null,E,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,C,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,C,F,F,null,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,F,null,null,null,null,null,null
Faculty of Education,null,null,null,C,null,null,null,null,null,null,null,null,null,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,C,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,C,null,null,null,null,null,null,null,null,null,null,C,null,null,A,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,C,C,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,D,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
